Date,decimal,ppm,#days,1 yr ago,10 yr ago,since 1800
2000/8/28,2000.6544,367.7,5,365.67,351.54,90.35
2000/9/4,2000.6735,367.32,6,364.27,351.16,90.35
2000/9/11,2000.6926,367.33,6,365.16,351.06,90.65
2000/9/18,2000.7117,366.86,7,365.33,351.66,90.36
2000/9/25,2000.7309,366.86,5,364.8,351.5,90.42
2000/10/2,2000.75,366.78,7,365.22,351.38,90.31
2000/10/9,2000.7691,366.88,7,365.4,351.57,90.28
2000/10/16,2000.7883,367.14,6,365.61,351.62,90.33
2000/10/23,2000.8074,367.62,7,365.81,351.86,90.55
2000/10/30,2000.8265,368,7,366.1,352.35,90.62
2000/11/6,2000.8456,368.2,5,366.72,352.74,90.5
2000/11/13,2000.8648,368.75,7,366.89,353.24,90.71
2000/11/20,2000.8839,368.64,4,367.22,353.52,90.26
2000/11/27,2000.903,368.85,6,367.57,353.67,90.16
2000/12/4,2000.9221,369.84,7,367.93,353.92,90.84
2000/12/11,2000.9413,369.83,7,368.06,354.32,90.55
2000/12/18,2000.9604,369.81,7,368.43,354.44,90.28
2000/12/25,2000.9795,370.02,7,368.88,354.92,90.27
2001/1/1,2000.9986,370.34,7,368.87,354.7,90.45
2001/1/8,2001.0178,370.46,7,369.05,354.65,90.4
2001/1/15,2001.037,370.84,6,369.74,355.22,90.63
2001/1/22,2001.0562,370.69,7,370.42,354.85,90.34
2001/1/29,2001.0753,371.53,7,369.54,355.44,91.06
2001/2/5,2001.0945,371.76,6,369.51,355.44,91.16
2001/2/12,2001.1137,372.14,6,369.93,356.14,91.41
2001/2/19,2001.1329,371.66,7,369.67,356.36,90.77
2001/2/26,2001.1521,371.9,7,370.15,356.16,90.85
2001/3/5,2001.1712,372.37,5,370.24,357.1,91.11
2001/3/12,2001.1904,372.67,7,370.71,357.85,91.19
2001/3/19,2001.2096,372.72,7,371.21,357.04,91
2001/3/26,2001.2288,372.58,5,371.07,357.61,90.61
2001/4/2,2001.2479,372.63,7,371.28,358.66,90.42
2001/4/9,2001.2671,373.79,7,371.91,357.87,91.35
2001/4/16,2001.2863,373.9,7,372.71,359,91.25
2001/4/23,2001.3055,373.79,7,372.07,359.33,90.99
2001/4/30,2001.3247,373.73,5,371.06,359.27,90.82
2001/5/7,2001.3438,374.12,4,371.96,358.94,91.15
2001/5/14,2001.363,373.88,4,371.59,359.65,90.92
2001/5/21,2001.3822,374.09,7,372.3,359.54,91.19
2001/5/28,2001.4014,374.07,7,371.98,358.72,91.29
2001/6/4,2001.4205,373.65,5,372.06,358.42,91.04
2001/6/11,2001.4397,373.23,5,371.85,358.5,90.85
2001/6/18,2001.4589,373.3,7,371.99,358.18,91.18
2001/6/25,2001.4781,373.2,7,371.49,357.75,91.4
2001/7/2,2001.4973,372.66,7,370.49,357.31,91.24
2001/7/9,2001.5164,371.52,4,370.37,356.68,90.51
2001/7/16,2001.5356,371.48,7,370.15,356.01,90.94
2001/7/23,2001.5548,371.04,5,369.58,355.25,91.02
2001/7/30,2001.574,371.06,3,369.15,355.55,91.57
2001/8/6,2001.5932,370.09,7,368.68,354.65,91.14
2001/8/13,2001.6123,369.36,6,368.37,354.09,90.95
