Date,Heating Oil Price,Diesel Retail Prices,Jet Fuel,Gold Price,Unemployment Insurance,USD_Index,Refinary Operation Capacity,Gasoline Inventory,Crude Oil Production,Gasoline
8/28/2000,0.9764,1.536,0.952,277,239030,111.419998,94.9,196372,5782,1.521
9/4/2000,0.9949,1.609,1.003,273.299988,242375,114.339996,96,195498,5783,1.568
9/11/2000,1.031,1.629,1.031,272.299988,229954,115.940002,96,191795,5802,1.598
9/18/2000,0.9555,1.653,1.066,271.799988,245991,113.559998,93.3,187566,5803,1.599
9/25/2000,0.93,1.657,1.027,273.600006,222219,113.25,95.3,190559,5680,1.586
10/2/2000,0.933,1.625,0.949,269.299988,227249,114.849998,94.7,195621,5862,1.563
10/9/2000,1.017,1.614,0.964,272.399994,292784,115.860001,92.4,195840,5867,1.541
10/16/2000,0.9711,1.67,1.03,271.200012,255082,117.160004,90.9,193261,5864,1.578
10/23/2000,0.9777,1.648,0.968,264.399994,263445,117.389999,92.4,192240,5880,1.588
10/30/2000,0.9217,1.629,0.981,264.600006,269489,114.970001,93.5,188097,5894,1.584
11/6/2000,1.0075,1.61,0.945,264.5,342414,115.790001,93,186147,5903,1.565
11/13/2000,1.0788,1.603,0.996,265.700012,294727,117.309998,92.8,189003,5889,1.562
11/20/2000,1.0944,1.627,1.07,266.299988,374160,118.480003,92.1,188941,5854,1.55
11/27/2000,0.971,1.645,1.093,268.700012,321859,114.730003,90.1,191190,5883,1.549
12/4/2000,0.9447,1.622,1.007,272.200012,447262,114.050003,91.8,195234,5925,1.526
12/11/2000,0.918,1.577,0.972,270.399994,390088,112.900002,93.2,196568,5903,1.49
12/18/2000,0.878,1.545,0.886,273.700012,402476,110.82,93.3,198983,5897,1.462
12/25/2000,0.9066,1.515,0.773,272,481720,109.559998,93,196401,5875,1.453
1/1/2001,0.8625,1.522,0.784,268,568973,108.419998,93.5,193771,5903,1.446
1/8/2001,0.8421,1.52,0.843,263.899994,558768,109.360001,91.8,195663,5944,1.465
1/15/2001,0.8797,1.509,0.836,264.299988,599562,110.660004,92.2,198713,5949,1.513
1/22/2001,0.8456,1.528,0.892,262.799988,398188,111.459999,90.5,200703,5912,1.511
1/29/2001,0.822,1.539,0.905,267.100006,447386,110.32,90.8,205882,5935,1.5
2/5/2001,0.8224,1.52,0.867,259.899994,424696,111.519997,89.8,203783,5929,1.483
2/12/2001,0.7601,1.518,0.872,258.200012,396151,112.260002,89.6,202920,5866,1.515
2/19/2001,0.741,1.48,0.792,260.899994,345841,112.029999,89.3,204595,5857,1.489
2/26/2001,0.727,1.451,0.772,262.100006,357591,111.169998,91.1,204546,5875,1.471
3/5/2001,0.7291,1.42,0.782,270.799988,379286,111.440002,91.8,203021,5876,1.457
