Week,GasolinePrices
01/3/2000,1.312
01/10/2000,1.304
01/17/2000,1.318
01/24/2000,1.354
01/31/2000,1.355
02/7/2000,1.364
02/14/2000,1.394
02/21/2000,1.443
02/28/2000,1.458
03/6/2000,1.539
03/13/2000,1.566
03/20/2000,1.569
03/27/2000,1.549
04/3/2000,1.543
04/10/2000,1.516
04/17/2000,1.486
04/24/2000,1.478
05/1/2000,1.461
05/8/2000,1.495
05/15/2000,1.531
05/22/2000,1.566
05/29/2000,1.579
06/5/2000,1.599
06/12/2000,1.664
06/19/2000,1.711
06/26/2000,1.691
07/3/2000,1.661
07/10/2000,1.63
07/17/2000,1.586
07/24/2000,1.562
07/31/2000,1.514
08/7/2000,1.504
08/14/2000,1.489
08/21/2000,1.508
08/28/2000,1.521
09/4/2000,1.568
09/11/2000,1.598
09/18/2000,1.599
09/25/2000,1.586
10/2/2000,1.563
10/9/2000,1.541
10/16/2000,1.578
10/23/2000,1.588
10/30/2000,1.584
11/6/2000,1.565
11/13/2000,1.562
11/20/2000,1.55
11/27/2000,1.549
12/4/2000,1.526
12/11/2000,1.49
12/18/2000,1.462
12/25/2000,1.453
01/1/2001,1.446
01/8/2001,1.465
01/15/2001,1.513
01/22/2001,1.511
01/29/2001,1.5
02/5/2001,1.483
02/12/2001,1.515
02/19/2001,1.489
02/26/2001,1.471
03/5/2001,1.457
03/12/2001,1.453
03/19/2001,1.444
03/26/2001,1.445
04/2/2001,1.482
04/9/2001,1.54
04/16/2001,1.61
04/23/2001,1.658
04/30/2001,1.665
05/7/2001,1.739
05/14/2001,1.748
05/21/2001,1.724
05/28/2001,1.739
06/4/2001,1.715
06/11/2001,1.688
06/18/2001,1.644
06/25/2001,1.583
07/2/2001,1.52
07/9/2001,1.484
07/16/2001,1.459
07/23/2001,1.44
07/30/2001,1.428
08/6/2001,1.419
08/13/2001,1.434
08/20/2001,1.467
08/27/2001,1.523
09/3/2001,1.579
09/10/2001,1.562
09/17/2001,1.564
09/24/2001,1.522
10/1/2001,1.455
10/8/2001,1.393
10/15/2001,1.351
10/22/2001,1.307
10/29/2001,1.277
11/5/2001,1.249
11/12/2001,1.224
11/19/2001,1.208
11/26/2001,1.168
12/3/2001,1.149
12/10/2001,1.136
12/17/2001,1.101
12/24/2001,1.113
12/31/2001,1.137
01/7/2002,1.152
01/14/2002,1.152
01/21/2002,1.146
01/28/2002,1.142
02/4/2002,1.157
02/11/2002,1.148
