Date,gasoline,oil_futures,close1,close2,close3,close4,close5,spring,summer,fall,winter,gas_1,gas_2
9/11/00,1.598,35.099998,33.700001,35.330002,34.950001,33.799999,33.380001,0,0,1,0,,
9/18/00,1.599,36.880001,35.849998,34.099998,33.799999,34.200001,35.099998,0,0,1,0,1.598,
9/25/00,1.586,31.57,32.650002,33.950001,37.5,36.5,36.880001,0,0,1,0,1.599,1.598
10/2/00,1.563,32.150002,30.860001,30.299999,31.5,31.5,31.57,0,0,1,0,1.586,1.599
10/9/00,1.541,31.879999,30.85,30.65,31.5,32.07,32.150002,0,0,1,0,1.563,1.586
10/16/00,1.578,33.099998,35.049999,36.099998,33.150002,33.150002,31.879999,0,0,1,0,1.541,1.563
10/23/00,1.588,33.73,34.299999,32.950001,33.549999,32.950001,33.099998,0,0,1,0,1.578,1.541
10/30/00,1.584,32.810001,32.700001,33.75,32.959999,33.369999,33.73,0,0,1,0,1.588,1.578
11/6/00,1.565,32.860001,32.599998,32.540001,33.200001,32.689999,32.810001,0,0,1,0,1.584,1.588
11/13/00,1.562,34.43,34.09,33.950001,33.290001,33.400002,32.860001,0,0,1,0,1.565,1.584
11/20/00,1.55,35.220001,35.599998,35.049999,35.599998,34.849998,34.43,0,0,1,0,1.562,1.565
11/27/00,1.549,35.380001,35.400002,35.150002,35.220001,35.599998,35.049999,0,0,1,0,1.55,1.562
12/4/00,1.526,31.299999,32.049999,33.799999,34.630001,34.25,35.380001,0,0,0,1,1.549,1.55
12/11/00,1.49,29.450001,28.5,29.360001,29.85,29.549999,31.299999,0,0,0,1,1.526,1.549
12/18/00,1.462,29.65,28.85,27.9,28.5,29.690001,29.450001,0,0,0,1,1.49,1.526
12/25/00,1.453,29.65,28.85,27.9,28.5,29.690001,29.450001,0,0,0,1,1.462,1.49
1/1/01,1.446,29.65,28.85,27.9,28.5,29.690001,29.450001,0,0,0,1,1.453,1.462
1/8/01,1.465,27.35,28,28.200001,27.950001,27.200001,26.799999,0,0,0,1,1.446,1.453
1/15/01,1.513,27.35,28,28.200001,27.950001,27.200001,26.799999,0,0,0,1,1.465,1.446
1/22/01,1.511,32,32.099998,30.450001,29.65,30.35,30.049999,0,0,0,1,1.513,1.465
1/29/01,1.5,29.059999,29.780001,29.360001,29.049999,29.57,32,0,0,0,1,1.511,1.513
2/5/01,1.483,30.5,31.25,29.799999,28.700001,29.059999,29.059999,0,0,0,1,1.5,1.511
2/12/01,1.515,30.549999,31.049999,31.559999,31.200001,30.35,30.5,0,0,0,1,1.483,1.5
2/19/01,1.489,30.549999,31.049999,31.559999,31.200001,30.35,30.5,0,0,0,1,1.515,1.483
2/26/01,1.471,28.440001,29,28.82,28.549999,28.58,29.16,0,0,0,1,1.489,1.515
3/5/01,1.457,28.6,27.84,27.65,27.42,28.120001,28.440001,1,0,0,0,1.471,1.489
3/12/01,1.453,28,27.799999,28.49,28.950001,28.299999,28.6,1,0,0,0,1.457,1.471
3/19/01,1.444,26.18,26.700001,26.65,26.450001,27.450001,28,1,0,0,0,1.453,1.457
3/26/01,1.445,27.459999,27.299999,26.52,26.799999,25.9,26.18,1,0,0,0,1.444,1.453
4/2/01,1.482,25.59,26.4,26.35,26.25,27.75,27.459999,1,0,0,0,1.445,1.444
4/9/01,1.54,27.34,27.059999,27.26,27.120001,26.190001,25.59,1,0,0,0,1.482,1.445
4/16/01,1.61,28.790001,28.25,28.18,28.48,27.34,27.059999,1,0,0,0,1.54,1.482
4/23/01,1.658,27.610001,27.280001,27.83,27.950001,28.24,28.790001,1,0,0,0,1.61,1.54
4/30/01,1.665,28.459999,28.27,28.440001,27.290001,26.860001,27.610001,1,0,0,0,1.658,1.61
5/7/01,1.739,27.77,28.360001,28.450001,27.799999,28.940001,28.459999,1,0,0,0,1.665,1.658
5/14/01,1.748,28.709999,28.549999,28.52,28.23,27.389999,27.77,1,0,0,0,1.739,1.665
5/21/01,1.724,29.98,29.91,28.91,28.860001,28.98,28.709999,1,0,0,0,1.748,1.739
5/28/01,1.739,29.98,29.91,28.91,28.860001,28.98,28.709999,1,0,0,0,1.724,1.748
6/4/01,1.715,28.129999,27.93,28.370001,28.549999,28.66,28.379999,0,1,0,0,1.739,1.724
6/11/01,1.688,29.040001,28.4,27.75,27.719999,28.24,28.129999,0,1,0,0,1.715,1.739
6/18/01,1.644,27.549999,28.51,29.040001,28.84,29.18,29.040001,0,1,0,0,1.688,1.715
6/25/01,1.583,27.25,26.83,26.559999,26.5,27.48,27.549999,0,1,0,0,1.644,1.688
7/2/01,1.52,25.950001,26.25,25.559999,25.610001,26.98,27.25,0,1,0,0,1.583,1.644
7/9/01,1.484,27.59,28.209999,27.02,26.24,25.950001,26.25,0,1,0,0,1.52,1.583
7/16/01,1.459,26.059999,26.59,26.799999,27.110001,27.49,27.59,0,1,0,0,1.484,1.52
7/23/01,1.44,26.120001,25.59,24.700001,24.889999,25.57,26.059999,0,1,0,0,1.459,1.484
7/30/01,1.428,26.629999,27.02,26.73,26.84,26.309999,26.120001,0,1,0,0,1.44,1.459
8/6/01,1.419,27.74,27.620001,27.709999,26.77,26.35,26.629999,0,1,0,0,1.428,1.44
8/13/01,1.434,27.82,28.049999,27.639999,27.540001,27.940001,27.74,0,1,0,0,1.419,1.428
8/20/01,1.467,27.18,26.629999,27.450001,27.559999,28.01,27.82,0,1,0,0,1.434,1.419
8/27/01,1.523,26.67,26.9,26.629999,26.370001,27.85,27.18,0,1,0,0,1.467,1.434
9/3/01,1.579,26.67,26.9,26.629999,26.370001,27.85,27.18,0,0,1,0,1.523,1.467
9/10/01,1.562,27.629999,28.030001,27.58,26.950001,26.93,27.200001,0,0,1,0,1.579,1.523
9/17/01,1.564,28.809999,29.530001,27.629999,28.030001,27.58,26.950001,0,0,1,0,1.562,1.579
9/24/01,1.522,22.01,25.969999,26.59,26.719999,27.700001,28.809999,0,0,1,0,1.564,1.562
10/1/01,1.455,23.280001,23.43,22.74,22.379999,21.809999,22.01,0,0,1,0,1.522,1.564
10/8/01,1.393,22.450001,22.389999,22.629999,22.08,22.790001,23.280001,0,0,1,0,1.455,1.522
10/15/01,1.351,22.290001,22.5,23.34,22.530001,22.48,22.450001,0,0,1,0,1.393,1.455
10/22/01,1.307,21.76,21.83,21.309999,21.809999,22,22.290001,0,0,1,0,1.351,1.393
10/29/01,1.277,22.15,22.049999,22.01,22.33,21.85,21.76,0,0,1,0,1.307,1.351
11/5/01,1.249,20.02,20.18,20.389999,21.18,21.870001,22.15,0,0,1,0,1.277,1.307
11/12/01,1.224,21.23,22.219999,21.17,20.09,19.92,20.02,0,0,1,0,1.249,1.277
11/19/01,1.208,17.719999,18.030001,17.450001,19.74,21.67,21.23,0,0,1,0,1.224,1.249
11/26/01,1.168,18.690001,18.959999,19.15,17.719999,18.030001,17.450001,0,0,1,0,1.208,1.224
12/3/01,1.149,20.09,19.440001,18.620001,19.219999,19.48,18.690001,0,0,0,1,1.168,1.208
12/10/01,1.136,18.370001,19.040001,18.540001,19.49,19.65,20.09,0,0,0,1,1.149,1.168
12/17/01,1.101,19.219999,19.290001,18.120001,18.360001,18.08,18.370001,0,0,0,1,1.136,1.149
12/24/01,1.113,19.219999,19.290001,18.120001,18.360001,18.08,18.370001,0,0,0,1,1.101,1.136
12/31/01,1.137,19.84,20.41,20.9,21.27,19.620001,19.280001,0,0,0,1,1.113,1.101
